gi_number	country	geo_loc	collection_year	host	comment	isolate
HQ256770		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368105		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368113		Cape Coast			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368123		Amasaman			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368133		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368142		Achimota			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368152		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368161		Mallam			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368163		Cape Coast			These viruses were from cats. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368091		Mallam			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368092		Cape Coast			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368093		Tema			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368094		Labadi			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368095		Tema			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368096		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368097		Akosombo			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368098		Haatso			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368099		Dansoman			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368100		Madina			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368101		Kasoa			Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368102		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
HM368103		Accra			These viruses had no specific location reported within Accra. Curated from the article Evolutionary history of rabies in Ghana (21483707), ; Curator: VGTK rabies team, SBOHVM, University of Glasgow	
