sequence_id	minor_clade
AB041966	NULL
AB247428	DR
AB362483	AM3b
AB383163	LC
AB383164	LC
AB383165	EFu
AB383166	NULL
AB383167	EFu
AB383168	EFu
AB383170	EFu
AB383171	EFu
AB383172	EFu
AB517659	AM3a
AB517660	AM3b
AB519641	DR
AB519642	DR
AB635373	NULL
AB645847	AM1
AB981663	SEA3
AB981664	SEA3
AF325462	CA3
AF325463	YUGCOW
AF325464	CE
AF325466	AF1a
AF325467	AF1a
AF325469	AF1a
AF325477	AM2a
AF325478	AF1c
AF325480	NULL
AF325481	NULL
AF325483	NULL
AF325484	NULL
AF325485	NULL
AF325487	SEA3
AF325489	NULL
AF325494	MYsp
AF325495	MYsp
AF351830	EF-W2
AF351831	EF-E2
AF351832	EF-E2
AF351835	MYsp
AF351836	MYsp
AF351838	MYsp
AF351839	MYsp
AF351849	TB1
AF351850	TB2
AF351854	EF-E1
AF351855	EF-E2
AF351859	EF-E1
AF351860	EF-E1
AF351861	EF-E2
AF351862	EF-E2
AF369265	A
AF369266	A
AF369272	WE
AF369273	WE
AF369274	CA1
AF369280	ME1a
AF369284	AL2
AF369285	AM1
AF369286	AM1
AF369287	NULL
AF369291	NULL
AF369289	AM2a
AF369293	NULL
AF369294	NULL
AF369297	AF1b
AF369298	NULL
AF369301	NULL
AF369302	NULL
AF369309	NULL
AF369311	CA1
AF369314	AM3a
AF369315	AM3b
AF369317	AL3
AF369320	NULL
AF369321	NULL
AF369322	AF1a
AF369326	NULL
AF369329	Vac2
AF369330	AL1a
AF369331	AF1a
AF369333	AF1b
AF369337	AM2a
AF369338	EF-E1
AF369340	EF-E2
AF369341	EF-W2
AF369342	EF-W1
AF369345	LN
AF369346	LN
AF369347	LC
AF369348	LB2
AF369356	LN
AF369357	EF-E2
AF369350	EF-E2
AF369355	EF-E2
AF369339	EF-E2
AF369351	LB1
AF369343	MYsp
AF369344	MYsp
AF369349	MYsp
AF369352	MYsp
AF369353	MYsp
AF369354	MYsp
AF369358	MYsp
AF369359	TB1
AF394887	EF-W2
AF467949	NULL
AY039226	EF-E1
AY039227	EF-E2
AY039229	EF-E2
AY138549	NULL
AY170413	EF-W1
AY352459	AL2
AY352474	NEE
AY352487	A
AY352493	AL1a
AY705373	PS
AY956319	AL1a
EF437215	AL1a
EF611853	A
EU086144	SEA2a
EU086146	SEA1b
EU086152	SEA3
EU086155	SEA4
EU086205	SEA4
EU293111	SEA3
EU293115	WE
EU293116	TB2
EU311738	NULL
EU643590	SEA2a
EU853614	NULL
FJ712194	SEA1b
FJ712195	SEA2b
FJ712196	SEA2b
FJ866835	SEA1b
FJ866836	SEA1b
GU345746	SEA1a
GU345747	SEA1a
GU345748	SEA1b
GU358653	SEA2a
GU644682	EF-W2
GU644683	EF-W2
GU644851	EF-W2
GU647092	SEA2b
HE802675	AL1a
HE802676	AL1a
HQ450385	SEA1b
HQ450386	AM2a
JN609295	SEA1b
JN786877	SEA3
JQ423952	SEA1b
JQ647510	SEA1b
JQ685892	EF-W1
JQ685893	EF-W1
JQ685894	AM4
JQ685895	LN
JQ685896	EF-W1
JQ685897	EF-W1
JQ685898	EF-W1
JQ685899	AM2b
JQ685900	LS
JQ685901	NULL
JQ685902	LB2
JQ685903	EF-W2
