sequence_id	major_clade
AB041966	Indian-Sub
AB247428	Bats
AB362483	Cosmopolitan
AB383163	Bats
AB383164	Bats
AB383165	Bats
AB383166	Bats
AB383167	Bats
AB383168	Bats
AB383170	Bats
AB383171	Bats
AB383172	Bats
AB517659	Cosmopolitan
AB517660	Cosmopolitan
AB519641	Bats
AB519642	Bats
AB635373	Indian-Sub
AB645847	Cosmopolitan
AB981663	Asian
AB981664	Asian
AF325462	Cosmopolitan
AF325463	Cosmopolitan
AF325464	Cosmopolitan
AF325466	Cosmopolitan
AF325467	Cosmopolitan
AF325469	Cosmopolitan
AF325477	Cosmopolitan
AF325478	Cosmopolitan
AF325480	Africa-2
AF325481	Africa-2
AF325483	Africa-2
AF325484	Africa-2
AF325485	Africa-3
AF325487	Asian
AF325489	Indian-Sub
AF325494	Bats
AF325495	Bats
AF351830	Bats
AF351831	Bats
AF351832	Bats
AF351835	Bats
AF351836	Bats
AF351838	Bats
AF351839	Bats
AF351849	Bats
AF351850	Bats
AF351854	Bats
AF351855	Bats
AF351859	Bats
AF351860	Bats
AF351861	Bats
AF351862	Bats
AF369265	Arctic
AF369266	Arctic
AF369272	Cosmopolitan
AF369273	Cosmopolitan
AF369274	Cosmopolitan
AF369280	Cosmopolitan
AF369284	Arctic
AF369285	Cosmopolitan
AF369286	Cosmopolitan
AF369287	RAC-SK
AF369291	RAC-SK
AF369289	Cosmopolitan
AF369293	RAC-SK
AF369294	RAC-SK
AF369297	Cosmopolitan
AF369298	Africa-3
AF369301	Africa-3
AF369302	Africa-3
AF369309	Indian-Sub
AF369311	Cosmopolitan
AF369314	Cosmopolitan
AF369315	Cosmopolitan
AF369317	Arctic
AF369320	Indian-Sub
AF369321	Indian-Sub
AF369322	Cosmopolitan
AF369326	Africa-2
AF369329	Cosmopolitan
AF369330	Arctic
AF369331	Cosmopolitan
AF369333	Cosmopolitan
AF369337	Cosmopolitan
AF369338	Bats
AF369340	Bats
AF369341	Bats
AF369342	Bats
AF369345	Bats
AF369346	Bats
AF369347	Bats
AF369348	Bats
AF369356	Bats
AF369357	Bats
AF369350	Bats
AF369355	Bats
AF369339	Bats
AF369351	Bats
AF369343	Bats
AF369344	Bats
AF369349	Bats
AF369352	Bats
AF369353	Bats
AF369354	Bats
AF369358	Bats
AF369359	Bats
AF394887	Bats
AF467949	Africa-3
AY039226	Bats
AY039227	Bats
AY039229	Bats
AY138549	Indian-Sub
AY170413	Bats
AY352459	Arctic
AY352474	Cosmopolitan
AY352487	Arctic
AY352493	Arctic
AY705373	Bats
AY956319	Arctic
EF437215	Arctic
EF611853	Arctic
EU086144	Asian
EU086146	Asian
EU086152	Asian
EU086155	Asian
EU086205	Asian
EU293111	Asian
EU293115	Cosmopolitan
EU293116	Bats
EU311738	RAC-SK
EU643590	Asian
EU853614	Africa-2
FJ712194	Asian
FJ712195	Asian
FJ712196	Asian
FJ866835	Asian
FJ866836	Asian
GU345746	Asian
GU345747	Asian
GU345748	Asian
GU358653	Asian
GU644682	Bats
GU644683	Bats
GU644851	Bats
GU647092	Asian
HE802675	Arctic
HE802676	Arctic
HQ450385	Asian
HQ450386	Cosmopolitan
JN609295	Asian
JN786877	Asian
JQ423952	Asian
JQ647510	Asian
JQ685892	Bats
JQ685893	Bats
JQ685894	Cosmopolitan
JQ685895	Bats
JQ685896	Bats
JQ685897	Bats
JQ685898	Bats
JQ685899	Cosmopolitan
JQ685900	Bats
JQ685901	RAC-SK
JQ685902	Bats
JQ685903	Bats
JQ685904	Bats
JQ685905	Bats
JQ685906	Bats
JQ685907	Bats
JQ685908	Bats
JQ685909	Bats
JQ685910	Bats
JQ685911	Bats
JQ685912	Bats
JQ685913	Bats
JQ685914	Bats
JQ685915	Bats
JQ685916	Bats
JQ685917	Bats
JQ685918	Bats
JQ685919	Bats
JQ685920	Bats
JQ685921	Bats
JQ685922	Bats
JQ685923	Bats
JQ685924	Bats
JQ685925	Bats
JQ685926	Bats
JQ685927	Bats
JQ685928	Bats
JQ685929	RAC-SK
JQ685930	Bats
JQ685931	Bats
JQ685932	Bats
JQ685933	Bats
JQ685934	Bats
JQ685935	Bats
JQ685936	Bats
JQ685937	Bats
JQ685938	RAC-SK
JQ685939	Bats
JQ685940	Bats
JQ685941	Bats
JQ685942	Bats
JQ685943	Cosmopolitan
JQ685944	Cosmopolitan
JQ685945	Bats
JQ685946	Bats
JQ685947	Bats
JQ685948	Bats
JQ685949	Bats
JQ685950	Bats
JQ685951	Bats
JQ685952	Bats
JQ685953	Bats
JQ685954	RAC-SK
JQ685955	Bats
JQ685956	Bats
JQ685957	Bats
JQ685958	Bats
JQ685959	Bats
JQ685960	Bats
JQ685961	Bats
JQ685962	Bats
JQ685963	Bats
JQ685964	Bats
JQ685965	Bats
JQ685966	Bats
JQ685967	Cosmopolitan
JQ685968	RAC-SK
JQ685969	Bats
JQ685970	Cosmopolitan
JQ685971	Bats
JQ685972	Bats
JQ685973	Bats
JQ685974	Bats
JQ685975	Cosmopolitan
JQ685976	Bats
JQ685977	Bats
JQ685978	Bats
JQ685979	Bats
JQ685980	Arctic
JQ685981	Arctic
JQ685982	Arctic
JQ685983	Arctic
JQ685984	Cosmopolitan
JQ685985	Cosmopolitan
JQ685986	RAC-SK
JQ685987	Cosmopolitan
JQ685988	Arctic
JQ685989	Cosmopolitan
JQ685990	Arctic
JQ685991	RAC-SK
JQ685992	Indian-Sub
JQ685993	RAC-SK
JQ685994	RAC-SK
JQ685995	Cosmopolitan
JQ685996	Bats
JQ685997	Bats
JQ685998	Bats
JQ685999	Bats
JQ686000	Bats
JQ686001	Bats
JQ686002	Bats
JQ686003	Bats
JQ686004	Bats
JQ686005	Bats
JQ686006	Bats
JQ686007	Bats
JQ686008	Bats
JQ686009	Bats
JQ686010	Bats
JQ686011	Bats
JQ686012	Bats
JQ686013	Bats
JQ730682	Asian
JQ944704	Cosmopolitan
JQ944705	Cosmopolitan
JQ944706	Cosmopolitan
JQ944707	Arctic
JQ944708	Cosmopolitan
JQ970480	Asian
JQ970481	Asian
JQ970482	Asian
JQ970483	Asian
JQ970484	Asian
JQ970485	Asian
JQ970486	Asian
JQ970487	Asian
JX088694	Asian
