primary_accession	exclusion
4BBL_Y	non significant blast hit
4BBL_Z	non significant blast hit
CAJVBB000000000	non significant blast hit
CAJVBC000000000	non significant blast hit
CAJVBD000000000	non significant blast hit
CAJVBE000000000	non significant blast hit
CAJVBF000000000	non significant blast hit
CAJVBG000000000	non significant blast hit
CAJVBH000000000	non significant blast hit
CAJVBI000000000	non significant blast hit
CAJVBJ000000000	non significant blast hit
CAJVBM000000000	non significant blast hit
CAJVBN000000000	non significant blast hit
CAJVBO000000000	non significant blast hit
CAJVBP000000000	non significant blast hit
CAJVBQ000000000	non significant blast hit
CAJVBR000000000	non significant blast hit
CAMXDA000000000	non significant blast hit
CAMXDB000000000	non significant blast hit
CAMXDC000000000	non significant blast hit
CAMXDD000000000	non significant blast hit
CAMXDE000000000	non significant blast hit
CAMXUK000000000	non significant blast hit
CAMXUL000000000	non significant blast hit
CAMXUM000000000	non significant blast hit
CAMXUN000000000	non significant blast hit
CAMXUO000000000	non significant blast hit
CAMXUP000000000	non significant blast hit
CAMXUQ000000000	non significant blast hit
CAMXUR000000000	non significant blast hit
CAMXUS000000000	non significant blast hit
CAMYGF000000000	non significant blast hit
CAMYGG000000000	non significant blast hit
CAMZOA000000000	non significant blast hit
CAMZOB000000000	non significant blast hit
CAMZOC000000000	non significant blast hit
CAWMSW000000000	non significant blast hit
CAWMUG000000000	non significant blast hit
CAWMUH000000000	non significant blast hit
CAWMUM000000000	non significant blast hit
OY981764	non IAV genomic sequence
OY981763	non IAV genomic sequence
OY981762	non IAV genomic sequence
OY981761	non IAV genomic sequence
OY981760	non IAV genomic sequence
OY981759	non IAV genomic sequence
OY981758	non IAV genomic sequence
OY981757	non IAV genomic sequence
OY981196	non IAV genomic sequence
OY981195	non IAV genomic sequence
OY981194	non IAV genomic sequence
OY981193	non IAV genomic sequence
OY981192	non IAV genomic sequence
OY981191	non IAV genomic sequence
OY981190	non IAV genomic sequence
OY981189	non IAV genomic sequence
OY980676	non IAV genomic sequence
OY980675	non IAV genomic sequence
OY980674	non IAV genomic sequence
OY980673	non IAV genomic sequence
OY980672	non IAV genomic sequence
OY980671	non IAV genomic sequence
OY980670	non IAV genomic sequence
OY980669	non IAV genomic sequence
OY980372	non IAV genomic sequence
OY980371	non IAV genomic sequence
OY980370	non IAV genomic sequence
OY980369	non IAV genomic sequence
OY980368	non IAV genomic sequence
OY980367	non IAV genomic sequence
OY980366	non IAV genomic sequence
OY980365	non IAV genomic sequence
OY980284	non IAV genomic sequence
OY980283	non IAV genomic sequence
OY980282	non IAV genomic sequence
OY980281	non IAV genomic sequence
OY980280	non IAV genomic sequence
OY980279	non IAV genomic sequence
OY980278	non IAV genomic sequence
OY980277	non IAV genomic sequence
OY980004	non IAV genomic sequence
OY980003	non IAV genomic sequence
OY980002	non IAV genomic sequence
OY980001	non IAV genomic sequence
OY980000	non IAV genomic sequence
OY979999	non IAV genomic sequence
OY979998	non IAV genomic sequence
OY979997	non IAV genomic sequence
OY979892	non IAV genomic sequence
OY979891	non IAV genomic sequence
OY979890	non IAV genomic sequence
OY979889	non IAV genomic sequence
OY979888	non IAV genomic sequence
OY979887	non IAV genomic sequence
OY979886	non IAV genomic sequence
OY979885	non IAV genomic sequence
OY979876	non IAV genomic sequence
OY979875	non IAV genomic sequence
OY979874	non IAV genomic sequence
OY979873	non IAV genomic sequence
OY979872	non IAV genomic sequence
OY979871	non IAV genomic sequence
OY979870	non IAV genomic sequence
OY283528	non IAV genomic sequence
OY283527	non IAV genomic sequence
OY283526	non IAV genomic sequence
